strain	transcript	ens_gene	ext_gene	expression	pSTR	str_genotype	genotype	STRallele
ED3077	C05C8.9b.2	WBGene00015466	hyls-1	-0.718531758210906	STR_13083	STR length	16	REF
EG4347	C05C8.9b.2	WBGene00015466	hyls-1	-0.817880448513221	STR_13083	STR length	16	REF
EG4724	C05C8.9b.2	WBGene00015466	hyls-1	-0.259445891406619	STR_13083	STR length	16	REF
EG4946	C05C8.9b.2	WBGene00015466	hyls-1	-0.859356208254599	STR_13083	STR length	16	REF
GXW1	C05C8.9b.2	WBGene00015466	hyls-1	-0.586151661003713	STR_13083	STR length	16	REF
JT11398	C05C8.9b.2	WBGene00015466	hyls-1	-0.623784489513659	STR_13083	STR length	16	REF
JU1088	C05C8.9b.2	WBGene00015466	hyls-1	-0.678610694146191	STR_13083	STR length	16	REF
JU1200	C05C8.9b.2	WBGene00015466	hyls-1	-0.818648139982564	STR_13083	STR length	16	REF
JU1212	C05C8.9b.2	WBGene00015466	hyls-1	-0.857622470744662	STR_13083	STR length	16	REF
JU1213	C05C8.9b.2	WBGene00015466	hyls-1	-0.832350683338073	STR_13083	STR length	16	REF
JU1246	C05C8.9b.2	WBGene00015466	hyls-1	-0.830500115134578	STR_13083	STR length	16	REF
JU1395	C05C8.9b.2	WBGene00015466	hyls-1	-0.748769599152013	STR_13083	STR length	16	REF
JU1440	C05C8.9b.2	WBGene00015466	hyls-1	-0.680141739981567	STR_13083	STR length	16	REF
JU1530	C05C8.9b.2	WBGene00015466	hyls-1	-0.553313794319781	STR_13083	STR length	16	REF
JU1543	C05C8.9b.2	WBGene00015466	hyls-1	-0.562125665175394	STR_13083	STR length	16	REF
JU1568	C05C8.9b.2	WBGene00015466	hyls-1	-0.730621028983814	STR_13083	STR length	16	REF
JU1581	C05C8.9b.2	WBGene00015466	hyls-1	-0.554057523704465	STR_13083	STR length	16	REF
JU1586	C05C8.9b.2	WBGene00015466	hyls-1	-0.631473243677831	STR_13083	STR length	16	REF
JU1652	C05C8.9b.2	WBGene00015466	hyls-1	-0.871611952789667	STR_13083	STR length	16	REF
JU1666	C05C8.9b.2	WBGene00015466	hyls-1	-0.665740673166279	STR_13083	STR length	16	REF
JU1792	C05C8.9b.2	WBGene00015466	hyls-1	-0.678280834729453	STR_13083	STR length	16	REF
JU1793	C05C8.9b.2	WBGene00015466	hyls-1	-0.786406521172123	STR_13083	STR length	16	REF
JU1808	C05C8.9b.2	WBGene00015466	hyls-1	-0.645876507711314	STR_13083	STR length	16	REF
JU1896	C05C8.9b.2	WBGene00015466	hyls-1	-0.663452311368846	STR_13083	STR length	16	REF
JU1934	C05C8.9b.2	WBGene00015466	hyls-1	-0.861111463169775	STR_13083	STR length	16	REF
JU2007	C05C8.9b.2	WBGene00015466	hyls-1	-0.707694414594283	STR_13083	STR length	16	REF
JU2016	C05C8.9b.2	WBGene00015466	hyls-1	-0.842450717589884	STR_13083	STR length	16	REF
JU2017	C05C8.9b.2	WBGene00015466	hyls-1	-0.660395367187827	STR_13083	STR length	16	REF
JU2106	C05C8.9b.2	WBGene00015466	hyls-1	-0.744268744575878	STR_13083	STR length	16	REF
JU2141	C05C8.9b.2	WBGene00015466	hyls-1	-0.563048578041727	STR_13083	STR length	16	REF
JU2234	C05C8.9b.2	WBGene00015466	hyls-1	-0.700289644486837	STR_13083	STR length	16	REF
JU2257	C05C8.9b.2	WBGene00015466	hyls-1	-0.7071719847425	STR_13083	STR length	16	REF
JU2466	C05C8.9b.2	WBGene00015466	hyls-1	-0.665588337152751	STR_13083	STR length	16	REF
JU2478	C05C8.9b.2	WBGene00015466	hyls-1	-0.601929839030441	STR_13083	STR length	16	REF
JU2513	C05C8.9b.2	WBGene00015466	hyls-1	-0.642433927946098	STR_13083	STR length	16	REF
JU2534	C05C8.9b.2	WBGene00015466	hyls-1	-0.603663322378228	STR_13083	STR length	16	REF
JU2565	C05C8.9b.2	WBGene00015466	hyls-1	-0.788201060711482	STR_13083	STR length	16	REF
JU2566	C05C8.9b.2	WBGene00015466	hyls-1	-0.754693419905613	STR_13083	STR length	16	REF
JU2572	C05C8.9b.2	WBGene00015466	hyls-1	-0.519379492128234	STR_13083	STR length	16	REF
JU2575	C05C8.9b.2	WBGene00015466	hyls-1	-0.626883339298934	STR_13083	STR length	16	REF
JU2576	C05C8.9b.2	WBGene00015466	hyls-1	-0.601592763147724	STR_13083	STR length	16	REF
JU2578	C05C8.9b.2	WBGene00015466	hyls-1	-0.716052214762573	STR_13083	STR length	16	REF
JU2581	C05C8.9b.2	WBGene00015466	hyls-1	-0.695184467534137	STR_13083	STR length	16	REF
JU2586	C05C8.9b.2	WBGene00015466	hyls-1	-0.682324551822222	STR_13083	STR length	16	REF
JU2592	C05C8.9b.2	WBGene00015466	hyls-1	-0.465949197805824	STR_13083	STR length	16	REF
JU2600	C05C8.9b.2	WBGene00015466	hyls-1	-0.705620803025421	STR_13083	STR length	16	REF
JU2610	C05C8.9b.2	WBGene00015466	hyls-1	-0.772811213406689	STR_13083	STR length	16	REF
JU2619	C05C8.9b.2	WBGene00015466	hyls-1	-0.574258470695668	STR_13083	STR length	16	REF
JU2811	C05C8.9b.2	WBGene00015466	hyls-1	-0.88769592576602	STR_13083	STR length	16	REF
JU2838	C05C8.9b.2	WBGene00015466	hyls-1	-0.49489507551646	STR_13083	STR length	16	REF
JU2841	C05C8.9b.2	WBGene00015466	hyls-1	-0.645634126668737	STR_13083	STR length	16	REF
JU2853	C05C8.9b.2	WBGene00015466	hyls-1	-0.727839511906814	STR_13083	STR length	16	REF
JU2862	C05C8.9b.2	WBGene00015466	hyls-1	-0.543678395131478	STR_13083	STR length	16	REF
JU2866	C05C8.9b.2	WBGene00015466	hyls-1	-0.746704518049216	STR_13083	STR length	16	REF
JU2879	C05C8.9b.2	WBGene00015466	hyls-1	-0.554504724173618	STR_13083	STR length	16	REF
JU2906	C05C8.9b.2	WBGene00015466	hyls-1	-0.859226303715042	STR_13083	STR length	16	REF
JU2907	C05C8.9b.2	WBGene00015466	hyls-1	-0.842292723734721	STR_13083	STR length	16	REF
JU310	C05C8.9b.2	WBGene00015466	hyls-1	-0.727958578079266	STR_13083	STR length	16	REF
JU311	C05C8.9b.2	WBGene00015466	hyls-1	-0.730050601612889	STR_13083	STR length	16	REF
JU3128	C05C8.9b.2	WBGene00015466	hyls-1	-0.684916442295984	STR_13083	STR length	16	REF
JU3132	C05C8.9b.2	WBGene00015466	hyls-1	-0.801333465626371	STR_13083	STR length	16	REF
JU3134	C05C8.9b.2	WBGene00015466	hyls-1	-0.751830870930053	STR_13083	STR length	16	REF
JU3144	C05C8.9b.2	WBGene00015466	hyls-1	-0.687374493344987	STR_13083	STR length	16	REF
JU323	C05C8.9b.2	WBGene00015466	hyls-1	-0.533011923206144	STR_13083	STR length	16	REF
JU346	C05C8.9b.2	WBGene00015466	hyls-1	-0.596115133285459	STR_13083	STR length	16	REF
JU360	C05C8.9b.2	WBGene00015466	hyls-1	-0.432631022006557	STR_13083	STR length	16	REF
JU367	C05C8.9b.2	WBGene00015466	hyls-1	-0.81032661427696	STR_13083	STR length	16	REF
JU394	C05C8.9b.2	WBGene00015466	hyls-1	-0.810981874641647	STR_13083	STR length	16	REF
JU406	C05C8.9b.2	WBGene00015466	hyls-1	-0.802546336163908	STR_13083	STR length	16	REF
JU440	C05C8.9b.2	WBGene00015466	hyls-1	-0.657971463088072	STR_13083	STR length	16	REF
JU642	C05C8.9b.2	WBGene00015466	hyls-1	-0.610564583797528	STR_13083	STR length	16	REF
JU782	C05C8.9b.2	WBGene00015466	hyls-1	-0.876803634556061	STR_13083	STR length	16	REF
JU830	C05C8.9b.2	WBGene00015466	hyls-1	-0.693316808089557	STR_13083	STR length	16	REF
JU847	C05C8.9b.2	WBGene00015466	hyls-1	-0.781728551689601	STR_13083	STR length	16	REF
KR314	C05C8.9b.2	WBGene00015466	hyls-1	-0.533939813844143	STR_13083	STR length	16	REF
MY16	C05C8.9b.2	WBGene00015466	hyls-1	-0.684431059553083	STR_13083	STR length	16	REF
MY18	C05C8.9b.2	WBGene00015466	hyls-1	-0.819136802710491	STR_13083	STR length	16	REF
MY1	C05C8.9b.2	WBGene00015466	hyls-1	-0.41498856204875	STR_13083	STR length	16	REF
MY2147	C05C8.9b.2	WBGene00015466	hyls-1	-0.889262867111356	STR_13083	STR length	16	REF
MY2212	C05C8.9b.2	WBGene00015466	hyls-1	-0.764104309382266	STR_13083	STR length	16	REF
MY2573	C05C8.9b.2	WBGene00015466	hyls-1	-0.83650044713252	STR_13083	STR length	16	REF
MY2585	C05C8.9b.2	WBGene00015466	hyls-1	-0.709753494808811	STR_13083	STR length	16	REF
MY2713	C05C8.9b.2	WBGene00015466	hyls-1	-0.780036268338993	STR_13083	STR length	16	REF
MY518	C05C8.9b.2	WBGene00015466	hyls-1	-0.725872680115292	STR_13083	STR length	16	REF
MY772	C05C8.9b.2	WBGene00015466	hyls-1	-0.848849230141172	STR_13083	STR length	16	REF
MY795	C05C8.9b.2	WBGene00015466	hyls-1	-0.957826755017802	STR_13083	STR length	16	REF
MY920	C05C8.9b.2	WBGene00015466	hyls-1	-0.659414375800376	STR_13083	STR length	16	REF
N2	C05C8.9b.2	WBGene00015466	hyls-1	-0.621946341907514	STR_13083	STR length	16	REF
NIC166	C05C8.9b.2	WBGene00015466	hyls-1	-0.82750425458437	STR_13083	STR length	16	REF
NIC199	C05C8.9b.2	WBGene00015466	hyls-1	-0.588934655754663	STR_13083	STR length	16	REF
NIC1	C05C8.9b.2	WBGene00015466	hyls-1	-0.438262199475311	STR_13083	STR length	16	REF
NIC231	C05C8.9b.2	WBGene00015466	hyls-1	-0.564293668847345	STR_13083	STR length	16	REF
NIC242	C05C8.9b.2	WBGene00015466	hyls-1	-0.698764078964698	STR_13083	STR length	16	REF
NIC251	C05C8.9b.2	WBGene00015466	hyls-1	-0.873919464032679	STR_13083	STR length	16	REF
NIC252	C05C8.9b.2	WBGene00015466	hyls-1	-0.727915776380948	STR_13083	STR length	16	REF
NIC255	C05C8.9b.2	WBGene00015466	hyls-1	-0.806538540289077	STR_13083	STR length	16	REF
NIC259	C05C8.9b.2	WBGene00015466	hyls-1	-0.869468082772364	STR_13083	STR length	16	REF
NIC265	C05C8.9b.2	WBGene00015466	hyls-1	-0.759239153663181	STR_13083	STR length	16	REF
NIC266	C05C8.9b.2	WBGene00015466	hyls-1	-0.650317287282623	STR_13083	STR length	16	REF
NIC267	C05C8.9b.2	WBGene00015466	hyls-1	-0.756245095634576	STR_13083	STR length	16	REF
NIC268	C05C8.9b.2	WBGene00015466	hyls-1	-0.562989627242589	STR_13083	STR length	16	REF
NIC277	C05C8.9b.2	WBGene00015466	hyls-1	-0.794771785922371	STR_13083	STR length	16	REF
NIC2	C05C8.9b.2	WBGene00015466	hyls-1	-0.733823185501068	STR_13083	STR length	16	REF
NIC3	C05C8.9b.2	WBGene00015466	hyls-1	-0.775501540353628	STR_13083	STR length	16	REF
NIC501	C05C8.9b.2	WBGene00015466	hyls-1	-0.626817743970545	STR_13083	STR length	16	REF
NIC511	C05C8.9b.2	WBGene00015466	hyls-1	-0.701781332593052	STR_13083	STR length	16	REF
NIC515	C05C8.9b.2	WBGene00015466	hyls-1	-0.815131808917795	STR_13083	STR length	16	REF
NIC523	C05C8.9b.2	WBGene00015466	hyls-1	-0.732304567246554	STR_13083	STR length	16	REF
NIC526	C05C8.9b.2	WBGene00015466	hyls-1	-0.788607084184506	STR_13083	STR length	16	REF
NIC527	C05C8.9b.2	WBGene00015466	hyls-1	-0.686113044749534	STR_13083	STR length	16	REF
NIC528	C05C8.9b.2	WBGene00015466	hyls-1	-0.414044434428931	STR_13083	STR length	16	REF
NIC529	C05C8.9b.2	WBGene00015466	hyls-1	-0.619844006552257	STR_13083	STR length	16	REF
PS2025	C05C8.9b.2	WBGene00015466	hyls-1	-0.542882104545383	STR_13083	STR length	16	REF
PX179	C05C8.9b.2	WBGene00015466	hyls-1	-0.699167168489647	STR_13083	STR length	16	REF
QG2075	C05C8.9b.2	WBGene00015466	hyls-1	-0.482578051589411	STR_13083	STR length	16	REF
QG556	C05C8.9b.2	WBGene00015466	hyls-1	-0.597818226449575	STR_13083	STR length	16	REF
QW947	C05C8.9b.2	WBGene00015466	hyls-1	-0.759872996998065	STR_13083	STR length	16	REF
QX1212	C05C8.9b.2	WBGene00015466	hyls-1	-0.838924804357191	STR_13083	STR length	16	REF
QX1233	C05C8.9b.2	WBGene00015466	hyls-1	-0.897140796302387	STR_13083	STR length	16	REF
QX1791	C05C8.9b.2	WBGene00015466	hyls-1	-0.687858657601254	STR_13083	STR length	16	REF
QX1792	C05C8.9b.2	WBGene00015466	hyls-1	-0.552768230909359	STR_13083	STR length	16	REF
QX1794	C05C8.9b.2	WBGene00015466	hyls-1	-0.553021027739225	STR_13083	STR length	16	REF
RC301	C05C8.9b.2	WBGene00015466	hyls-1	-0.87353420790158	STR_13083	STR length	16	REF
WN2050	C05C8.9b.2	WBGene00015466	hyls-1	-0.779270802348729	STR_13083	STR length	16	REF
XZ1513	C05C8.9b.2	WBGene00015466	hyls-1	-0.682309148863644	STR_13083	STR length	16	REF
XZ1515	C05C8.9b.2	WBGene00015466	hyls-1	-0.303703295343132	STR_13083	STR length	16	REF
CX11271	C05C8.9b.2	WBGene00015466	hyls-1	-0.254392609936349	STR_13083	STR length	15	ALT
CX11285	C05C8.9b.2	WBGene00015466	hyls-1	-0.442032253463425	STR_13083	STR length	15	ALT
ECA363	C05C8.9b.2	WBGene00015466	hyls-1	-0.775798098052969	STR_13083	STR length	15	ALT
ECA705	C05C8.9b.2	WBGene00015466	hyls-1	-0.622893793321656	STR_13083	STR length	15	ALT
ECA743	C05C8.9b.2	WBGene00015466	hyls-1	-0.8908413422581	STR_13083	STR length	15	ALT
ECA923	C05C8.9b.2	WBGene00015466	hyls-1	-0.786629772041062	STR_13083	STR length	15	ALT
ED3040	C05C8.9b.2	WBGene00015466	hyls-1	-0.527082488512083	STR_13083	STR length	15	ALT
JU1242	C05C8.9b.2	WBGene00015466	hyls-1	-0.324896705350084	STR_13083	STR length	15	ALT
JU1409	C05C8.9b.2	WBGene00015466	hyls-1	-0.609357110179143	STR_13083	STR length	15	ALT
JU1491	C05C8.9b.2	WBGene00015466	hyls-1	-0.687415564985	STR_13083	STR length	15	ALT
JU2001	C05C8.9b.2	WBGene00015466	hyls-1	-0.729666795187062	STR_13083	STR length	15	ALT
JU2131	C05C8.9b.2	WBGene00015466	hyls-1	-0.0461900398480493	STR_13083	STR length	15	ALT
JU2250	C05C8.9b.2	WBGene00015466	hyls-1	-0.710004027223275	STR_13083	STR length	15	ALT
JU2519	C05C8.9b.2	WBGene00015466	hyls-1	-0.555969182069885	STR_13083	STR length	15	ALT
JU2522	C05C8.9b.2	WBGene00015466	hyls-1	-0.753464599643474	STR_13083	STR length	15	ALT
JU2526	C05C8.9b.2	WBGene00015466	hyls-1	-0.749487250763669	STR_13083	STR length	15	ALT
JU2570	C05C8.9b.2	WBGene00015466	hyls-1	-0.316768984088153	STR_13083	STR length	15	ALT
JU3140	C05C8.9b.2	WBGene00015466	hyls-1	-0.476291037642465	STR_13083	STR length	15	ALT
JU397	C05C8.9b.2	WBGene00015466	hyls-1	-0.627378504519181	STR_13083	STR length	15	ALT
JU774	C05C8.9b.2	WBGene00015466	hyls-1	0.0415268770571871	STR_13083	STR length	15	ALT
JU775	C05C8.9b.2	WBGene00015466	hyls-1	-0.83883120155676	STR_13083	STR length	15	ALT
JU778	C05C8.9b.2	WBGene00015466	hyls-1	-0.757088115197285	STR_13083	STR length	15	ALT
JU792	C05C8.9b.2	WBGene00015466	hyls-1	-0.683606645538614	STR_13083	STR length	15	ALT
LKC34	C05C8.9b.2	WBGene00015466	hyls-1	-0.53289753922384	STR_13083	STR length	15	ALT
MY10	C05C8.9b.2	WBGene00015466	hyls-1	-0.590721643162006	STR_13083	STR length	15	ALT
MY23	C05C8.9b.2	WBGene00015466	hyls-1	-0.295606222549879	STR_13083	STR length	15	ALT
NIC207	C05C8.9b.2	WBGene00015466	hyls-1	-0.507622544647514	STR_13083	STR length	15	ALT
NIC236	C05C8.9b.2	WBGene00015466	hyls-1	-0.723676414009762	STR_13083	STR length	15	ALT
NIC256	C05C8.9b.2	WBGene00015466	hyls-1	-0.718625592119887	STR_13083	STR length	15	ALT
NIC258	C05C8.9b.2	WBGene00015466	hyls-1	-0.359061580941474	STR_13083	STR length	15	ALT
NIC260	C05C8.9b.2	WBGene00015466	hyls-1	-0.625703504341957	STR_13083	STR length	15	ALT
NIC261	C05C8.9b.2	WBGene00015466	hyls-1	-0.662215372586229	STR_13083	STR length	15	ALT
NIC271	C05C8.9b.2	WBGene00015466	hyls-1	-0.652014577866412	STR_13083	STR length	15	ALT
NIC274	C05C8.9b.2	WBGene00015466	hyls-1	0.0438680790465908	STR_13083	STR length	15	ALT
NIC275	C05C8.9b.2	WBGene00015466	hyls-1	-0.521648540223577	STR_13083	STR length	15	ALT
NIC276	C05C8.9b.2	WBGene00015466	hyls-1	-0.709935092930939	STR_13083	STR length	15	ALT
NIC513	C05C8.9b.2	WBGene00015466	hyls-1	-0.0449808997735826	STR_13083	STR length	15	ALT
NIC514	C05C8.9b.2	WBGene00015466	hyls-1	-0.785867193139462	STR_13083	STR length	15	ALT
QX1793	C05C8.9b.2	WBGene00015466	hyls-1	-0.380989864482802	STR_13083	STR length	15	ALT
AB1	F31B9.8	WBGene00304798	F31B9.8	0.953761102339482	STR_13083	STR length	16	REF
BRC20067	F31B9.8	WBGene00304798	F31B9.8	0.382701584897432	STR_13083	STR length	16	REF
BRC20263	F31B9.8	WBGene00304798	F31B9.8	1.14893247329357	STR_13083	STR length	16	REF
CB4852	F31B9.8	WBGene00304798	F31B9.8	0.862970157242738	STR_13083	STR length	16	REF
CB4856	F31B9.8	WBGene00304798	F31B9.8	1.65090392399918	STR_13083	STR length	16	REF
CX11254	F31B9.8	WBGene00304798	F31B9.8	2.20832219022432	STR_13083	STR length	16	REF
CX11262	F31B9.8	WBGene00304798	F31B9.8	1.25091419344103	STR_13083	STR length	16	REF
CX11264	F31B9.8	WBGene00304798	F31B9.8	0.961628744892489	STR_13083	STR length	16	REF
CX11276	F31B9.8	WBGene00304798	F31B9.8	1.88418440975506	STR_13083	STR length	16	REF
CX11292	F31B9.8	WBGene00304798	F31B9.8	1.32276689463856	STR_13083	STR length	16	REF
CX11307	F31B9.8	WBGene00304798	F31B9.8	1.769124524307	STR_13083	STR length	16	REF
CX11314	F31B9.8	WBGene00304798	F31B9.8	1.4260423109816	STR_13083	STR length	16	REF
CX11315	F31B9.8	WBGene00304798	F31B9.8	1.17662770410601	STR_13083	STR length	16	REF
DL200	F31B9.8	WBGene00304798	F31B9.8	1.63640681029685	STR_13083	STR length	16	REF
DL226	F31B9.8	WBGene00304798	F31B9.8	2.23970416779269	STR_13083	STR length	16	REF
DL238	F31B9.8	WBGene00304798	F31B9.8	1.49464918538969	STR_13083	STR length	16	REF
ECA189	F31B9.8	WBGene00304798	F31B9.8	1.2403121170056	STR_13083	STR length	16	REF
CB4855	F31B9.8	WBGene00304798	F31B9.8	1.28278786529897	STR_13083	STR length	16	REF
CB4857	F31B9.8	WBGene00304798	F31B9.8	1.39219456307088	STR_13083	STR length	16	REF
CB4858	F31B9.8	WBGene00304798	F31B9.8	1.14801880316422	STR_13083	STR length	16	REF
PB306	F31B9.8	WBGene00304798	F31B9.8	1.94508846724697	STR_13083	STR length	16	REF
ECA348	F31B9.8	WBGene00304798	F31B9.8	1.08343369098761	STR_13083	STR length	16	REF
ECA349	F31B9.8	WBGene00304798	F31B9.8	1.20701131903236	STR_13083	STR length	16	REF
ECA372	F31B9.8	WBGene00304798	F31B9.8	1.46355456732271	STR_13083	STR length	16	REF
ECA592	F31B9.8	WBGene00304798	F31B9.8	1.22064120441356	STR_13083	STR length	16	REF
ECA594	F31B9.8	WBGene00304798	F31B9.8	0.973916188420453	STR_13083	STR length	16	REF
ECA703	F31B9.8	WBGene00304798	F31B9.8	1.4868527717855	STR_13083	STR length	16	REF
ECA710	F31B9.8	WBGene00304798	F31B9.8	1.63053791023104	STR_13083	STR length	16	REF
ECA738	F31B9.8	WBGene00304798	F31B9.8	0.726513151768971	STR_13083	STR length	16	REF
ECA777	F31B9.8	WBGene00304798	F31B9.8	2.29946714783628	STR_13083	STR length	16	REF
ECA812	F31B9.8	WBGene00304798	F31B9.8	2.19835634375832	STR_13083	STR length	16	REF
ED3005	F31B9.8	WBGene00304798	F31B9.8	1.46201302507526	STR_13083	STR length	16	REF
ED3012	F31B9.8	WBGene00304798	F31B9.8	0.864032492921712	STR_13083	STR length	16	REF
ED3048	F31B9.8	WBGene00304798	F31B9.8	0.977666109788227	STR_13083	STR length	16	REF
ED3049	F31B9.8	WBGene00304798	F31B9.8	0.805371133999408	STR_13083	STR length	16	REF
ED3052	F31B9.8	WBGene00304798	F31B9.8	0.536505592380387	STR_13083	STR length	16	REF
ED3073	F31B9.8	WBGene00304798	F31B9.8	1.88395992462665	STR_13083	STR length	16	REF
ED3077	F31B9.8	WBGene00304798	F31B9.8	1.64369226693306	STR_13083	STR length	16	REF
EG4347	F31B9.8	WBGene00304798	F31B9.8	1.30128741978686	STR_13083	STR length	16	REF
EG4724	F31B9.8	WBGene00304798	F31B9.8	1.55100415545256	STR_13083	STR length	16	REF
EG4946	F31B9.8	WBGene00304798	F31B9.8	0.998866550602536	STR_13083	STR length	16	REF
GXW1	F31B9.8	WBGene00304798	F31B9.8	0.60070224512224	STR_13083	STR length	16	REF
JT11398	F31B9.8	WBGene00304798	F31B9.8	1.38366324430978	STR_13083	STR length	16	REF
JU1088	F31B9.8	WBGene00304798	F31B9.8	1.85424942541571	STR_13083	STR length	16	REF
JU1200	F31B9.8	WBGene00304798	F31B9.8	1.27774092828303	STR_13083	STR length	16	REF
JU1212	F31B9.8	WBGene00304798	F31B9.8	1.20533990711845	STR_13083	STR length	16	REF
JU1213	F31B9.8	WBGene00304798	F31B9.8	2.11921274528389	STR_13083	STR length	16	REF
JU1246	F31B9.8	WBGene00304798	F31B9.8	1.57839870753721	STR_13083	STR length	16	REF
JU1395	F31B9.8	WBGene00304798	F31B9.8	-0.0448262146310983	STR_13083	STR length	16	REF
JU1440	F31B9.8	WBGene00304798	F31B9.8	2.24870616995018	STR_13083	STR length	16	REF
JU1530	F31B9.8	WBGene00304798	F31B9.8	1.45074826435596	STR_13083	STR length	16	REF
JU1543	F31B9.8	WBGene00304798	F31B9.8	1.20873943824945	STR_13083	STR length	16	REF
JU1568	F31B9.8	WBGene00304798	F31B9.8	1.5950000570536	STR_13083	STR length	16	REF
JU1581	F31B9.8	WBGene00304798	F31B9.8	1.98181610481371	STR_13083	STR length	16	REF
JU1586	F31B9.8	WBGene00304798	F31B9.8	1.00738489620041	STR_13083	STR length	16	REF
JU1652	F31B9.8	WBGene00304798	F31B9.8	1.32772386434403	STR_13083	STR length	16	REF
JU1666	F31B9.8	WBGene00304798	F31B9.8	1.76585146669338	STR_13083	STR length	16	REF
JU1792	F31B9.8	WBGene00304798	F31B9.8	1.34210698025005	STR_13083	STR length	16	REF
JU1793	F31B9.8	WBGene00304798	F31B9.8	1.5741647223832	STR_13083	STR length	16	REF
JU1808	F31B9.8	WBGene00304798	F31B9.8	1.73034916758965	STR_13083	STR length	16	REF
JU1896	F31B9.8	WBGene00304798	F31B9.8	0.89640965397795	STR_13083	STR length	16	REF
JU1934	F31B9.8	WBGene00304798	F31B9.8	1.57571535960843	STR_13083	STR length	16	REF
JU2007	F31B9.8	WBGene00304798	F31B9.8	1.78313697843822	STR_13083	STR length	16	REF
JU2016	F31B9.8	WBGene00304798	F31B9.8	1.19402412438435	STR_13083	STR length	16	REF
