transcript	pSTR	str_genotype	STR_var_exp	eQTL_Chr	eQTL_peak	eQTL_classification	eQTL_var_exp	LD	LD_level	nSTR_pheno
B0250.3	STR_27129	STR length	0.07	V	20485920	Local eQTL	0.5	0.46	Moderate LD	3
B0250.4	STR_27124	STR genotype	0.28	V	20485920	Local eQTL	0.36	0.85	High LD	2
B0250.4	STR_27129	STR length	0.11	V	20485920	Local eQTL	0.26	0.46	Moderate LD	3
B0252.3a.1	STR_7817	STR genotype	0.34	II	5944790	Local eQTL	0.32	0.96	High LD	2
B0252.3a.1	STR_7842	STR length	0.32	II	5944790	Local eQTL	0.32	0.87	High LD	2
B0280.13.1	STR_13374	STR genotype	0.21	III	7145610	Local eQTL	0.27	0.9	High LD	2
B0280.13.1	STR_13374	STR length	0.21	III	7145610	Local eQTL	0.27	0.9	High LD	2
B0280.13.2	STR_13374	STR genotype	0.42	III	7145610	Local eQTL	0.44	0.9	High LD	2
B0280.13.2	STR_13374	STR length	0.42	III	7145610	Local eQTL	0.44	0.9	High LD	2
B0280.1a.1	STR_13374	STR genotype	0.23	III	7145610	Local eQTL	0.21	0.9	High LD	2
B0280.1a.1	STR_13374	STR length	0.23	III	7145610	Local eQTL	0.21	0.9	High LD	2
B0280.8.1	STR_13330	STR genotype	0.3	III	6265508	Local eQTL	0.33	0.87	High LD	2
B0280.8.1	STR_13326	STR length	0.27	III	6265508	Local eQTL	0.29	0.81	High LD	2
B0285.6.1	STR_12757	STR genotype	0.24	III	4389765	Local eQTL	0.33	0.41	Moderate LD	3
B0285.6.1	STR_12763	STR length	0.29	III	4389765	Local eQTL	0.31	0.97	High LD	2
B0286.4c.2	STR_7244	STR genotype	0.48	II	3779761	Local eQTL	0.48	0.84	High LD	2
B0286.4c.2	STR_7244	STR length	0.48	II	3779761	Local eQTL	0.48	0.84	High LD	2
B0294.3.1	STR_27816	STR genotype	0.18	X	1853538	Local eQTL	0.19	0.68	Moderate LD	2
B0294.3.1	STR_27816	STR length	0.18	X	1853538	Local eQTL	0.19	0.68	Moderate LD	2
B0303.11a.2	STR_13806	STR genotype	0.3	III	8778247	Local eQTL	0.61	0.68	Moderate LD	4
B0303.11a.2	STR_13806	STR length	0.3	III	8778247	Local eQTL	0.61	0.68	Moderate LD	4
B0303.11b.1	STR_13806	STR genotype	0.3	III	8750423	Local eQTL	0.67	0.72	High LD	4
B0303.11b.1	STR_13806	STR length	0.3	III	8750423	Local eQTL	0.67	0.72	High LD	4
B0303.3.1	STR_13806	STR genotype	0.38	III	8816076	Local eQTL	0.49	0.78	High LD	4
B0303.3.1	STR_13806	STR length	0.38	III	8816076	Local eQTL	0.49	0.78	High LD	4
B0334.10.1	STR_8821	STR genotype	0.25	II	11286461	Local eQTL	0.26	0.96	High LD	2
B0334.10.1	STR_8821	STR length	0.25	II	11286461	Local eQTL	0.26	0.96	High LD	2
B0336.1b.1	STR_13062	STR genotype	0.21	III	5660718	Local eQTL	0.21	1	High LD	2
B0336.1b.1	STR_13062	STR length	0.21	III	5660718	Local eQTL	0.21	1	High LD	2
B0336.4a.1	STR_13062	STR genotype	0.17	III	5660718	Local eQTL	0.17	1	High LD	2
B0336.4a.1	STR_13062	STR length	0.17	III	5660718	Local eQTL	0.17	1	High LD	2
B0336.9c.1	STR_13042	STR genotype	0.59	III	5660718	Local eQTL	0.67	0.7	High LD	3
B0336.9c.1	STR_13042	STR length	0.35	III	5660718	Local eQTL	0.67	0.7	High LD	3
B0336.9e.2	STR_13062	STR genotype	0.18	III	5660718	Local eQTL	0.18	1	High LD	2
B0336.9e.2	STR_13062	STR length	0.19	III	5660718	Local eQTL	0.19	1	High LD	2
B0348.4k.1	STR_21683	STR genotype	0.14	V	1714	Local eQTL	0.14	1	High LD	2
B0361.7.1	STR_13213	STR genotype	0.34	III	7110063	Local eQTL	0.38	0.81	High LD	2
B0361.7.1	STR_13307	STR length	0.32	III	7110063	Local eQTL	0.36	0.46	Moderate LD	2
B0361.8.2	STR_13258	STR genotype	0.06	III	7110063	Local eQTL	0.47	0.08	Low LD	3
B0361.8.2	STR_13258	STR length	0.35	III	7110063	Local eQTL	0.47	0.08	Low LD	3
B0365.5a.1	STR_24766	STR genotype	0.49	V	12967187	Local eQTL	0.47	0.94	High LD	2
B0365.5a.1	STR_24766	STR length	0.49	V	12967187	Local eQTL	0.47	0.94	High LD	2
B0391.5.1	STR_25410	STR genotype	0.04	V	16068416	Local eQTL	0.18	0.37	Moderate LD	3
B0391.8	STR_25410	STR genotype	0.01	V	16236905	Local eQTL	0.47	0.16	Low LD	3
B0391.8	STR_25429	STR length	0.2	V	16236905	Local eQTL	0.47	0.14	Low LD	4
B0393.8.1	STR_12843	STR genotype	0.24	III	5133787	Local eQTL	0.24	1	High LD	2
B0393.8.1	STR_12843	STR length	0.24	III	5133787	Local eQTL	0.24	0.92	High LD	2
B0416.10.1	STR_29747	STR genotype	0.59	X	8927830	Local eQTL	0.59	1	High LD	2
B0416.10.1	STR_29810	STR length	0.07	X	8927830	Local eQTL	0.58	0.06	Low LD	3
B0416.1b.1	STR_29708	STR genotype	0.21	X	9101672	Local eQTL	0.21	1	High LD	2
B0416.1b.1	STR_29887	STR length	0.1	X	9101672	Local eQTL	0.2	0.3	Moderate LD	4
B0416.5.1	STR_29887	STR genotype	0.01	X	9583403	Local eQTL	0.22	0.28	Low LD	4
B0416.5.1	STR_29810	STR length	0.06	X	9583403	Local eQTL	0.23	0.53	Moderate LD	3
B0462.1	STR_25930	STR genotype	0.61	V	18159340	Local eQTL	0.61	0.92	High LD	2
B0462.1	STR_25930	STR length	0.61	V	18159340	Local eQTL	0.61	0.92	High LD	2
B0462.5.1	STR_25987	STR genotype	0.45	V	18329989	Local eQTL	0.56	0.82	High LD	2
B0462.5.1	STR_25987	STR length	0.45	V	18329989	Local eQTL	0.55	0.77	High LD	2
B0511.13b.2	STR_4087	STR genotype	0.14	I	9980205	Local eQTL	0.16	0.81	High LD	4
B0511.13b.2	STR_4087	STR length	0.05	I	9980205	Local eQTL	0.16	0.81	High LD	4
B0511.2	STR_3904	STR genotype	0.57	I	10702236	Local eQTL	0.58	0.94	High LD	2
B0511.2	STR_3904	STR length	0.58	I	10702236	Local eQTL	0.58	0.9	High LD	2
B0511.9a.1	STR_4155	STR genotype	0.18	I	10222404	Local eQTL	0.5	0.56	Moderate LD	3
B0511.9a.1	STR_4116	STR length	0.37	I	10222404	Local eQTL	0.5	0.73	High LD	2
B0511.9a.2	STR_4155	STR genotype	0.32	I	10222404	Local eQTL	0.9	0.56	Moderate LD	3
B0511.9a.2	STR_4116	STR length	0.73	I	10222404	Local eQTL	0.91	0.73	High LD	2
B0524.4	STR_11536	STR genotype	0.31	III	1870450	Local eQTL	0.4	0.71	High LD	4
B0524.4	STR_11536	STR length	0.2	III	1870450	Local eQTL	0.4	0.71	High LD	4
B0524.5.1	STR_11536	STR genotype	0.3	III	1895735	Local eQTL	0.45	0.63	Moderate LD	4
B0524.5.1	STR_11536	STR length	0.12	III	1895735	Local eQTL	0.45	0.63	Moderate LD	4
B0524.6.2	STR_11536	STR genotype	0.14	III	1913338	Local eQTL	0.3	0.57	Moderate LD	4
B0524.6.2	STR_11536	STR length	0.02	III	1913338	Local eQTL	0.3	0.57	Moderate LD	4
B0563.7.1	STR_29608	STR genotype	0.01	X	8538681	Local eQTL	0.19	0.64	Moderate LD	3
B0563.7.1	STR_29608	STR length	0.17	X	8538681	Local eQTL	0.19	0.64	Moderate LD	2
C01A2.1a.1	STR_4991	STR genotype	0.16	I	13990371	Local eQTL	0.17	0.82	High LD	2
C01A2.1a.1	STR_4991	STR length	0.16	I	13990371	Local eQTL	0.18	0.9	High LD	2
C01A2.5.1	STR_4910	STR genotype	0.37	I	13388047	Local eQTL	0.34	0.68	Moderate LD	2
C01A2.5.1	STR_4910	STR length	0.35	I	13388047	Local eQTL	0.34	0.68	Moderate LD	2
C01B10.1	STR_18825	STR genotype	0.17	IV	6611540	Local eQTL	0.35	0.31	Moderate LD	3
C01B10.1	STR_18825	STR length	0.41	IV	6611540	Local eQTL	0.35	0.31	Moderate LD	3
C01B10.4a.1	STR_18825	STR genotype	0.36	IV	6564201	Local eQTL	0.38	0.52	Moderate LD	3
C01B10.4a.1	STR_18825	STR length	0.26	IV	6564201	Local eQTL	0.39	0.52	Moderate LD	3
C01B4.7a.1	STR_22629	STR genotype	0.19	V	2276659	Local eQTL	0.28	0.68	Moderate LD	2
C01B4.7a.1	STR_22629	STR length	0.19	V	2276659	Local eQTL	0.28	0.68	Moderate LD	2
C01F1.2.2	STR_7218	STR genotype	0.28	II	4307936	Local eQTL	0.33	0.47	Moderate LD	2
C01F1.2.2	STR_7421	STR length	0.27	II	4307936	Local eQTL	0.35	0.39	Moderate LD	2
C01F1.4.1	STR_7199	STR genotype	0.21	II	4278298	Local eQTL	0.41	0.81	High LD	3
C01F1.4.1	STR_7199	STR length	0.36	II	4278298	Local eQTL	0.38	0.74	High LD	2
C01F6.6h.1	STR_19331	STR genotype	0.22	IV	8635458	Local eQTL	0.22	0.97	High LD	2
C01F6.6h.1	STR_19331	STR length	0.22	IV	8635458	Local eQTL	0.22	0.82	High LD	2
C01F6.6h.2	STR_19331	STR genotype	0.45	IV	9308808	Local eQTL	0.4	0.93	High LD	2
C01F6.6h.2	STR_19331	STR length	0.44	IV	9308808	Local eQTL	0.4	0.79	High LD	2
C01G10.16.1	STR_25155	STR genotype	0.28	V	15387456	Local eQTL	0.32	0.62	Moderate LD	2
C01G10.16.1	STR_25367	STR length	0.01	V	15387456	Local eQTL	0.3	0.4	Moderate LD	3
C01G12.10.1	STR_10478	STR genotype	0.16	II	14610754	Local eQTL	0.17	0.96	High LD	2
C01G12.10.1	STR_10543	STR length	0.15	II	14610754	Local eQTL	0.17	0.94	High LD	2
C01G12.1.1	STR_10388	STR genotype	0.4	II	14555009	Local eQTL	0.27	0.61	Moderate LD	2
C01G12.1.1	STR_10388	STR length	0.4	II	14555009	Local eQTL	0.27	0.59	Moderate LD	2
C01G12.1.2	STR_10388	STR genotype	0.32	II	14628657	Local eQTL	0.26	0.43	Moderate LD	2
C01G12.1.2	STR_10388	STR length	0.32	II	14628657	Local eQTL	0.26	0.42	Moderate LD	2
C01G12.12	STR_10518	STR genotype	0.12	II	15113045	Local eQTL	0.53	0.26	Low LD	3
C01G12.12	STR_10517	STR length	0.5	II	15113045	Local eQTL	0.5	0.84	High LD	2
C01G12.7.1	STR_10664	STR genotype	0.21	II	14884692	Local eQTL	0.25	0.7	High LD	3
C01G12.7.1	STR_10660	STR length	0.24	II	14884692	Local eQTL	0.24	1	High LD	2
C01G5.7b.1	STR_18815	STR genotype	0.79	IV	6385117	Local eQTL	0.75	0.93	High LD	2
C01G5.7b.1	STR_18802	STR length	0.74	IV	6385117	Local eQTL	0.74	1	High LD	2
C02A12.4.2	STR_22806	STR genotype	0.81	V	3193598	Local eQTL	0.77	0.96	High LD	2
C02A12.4.2	STR_22863	STR length	0.8	V	3193598	Local eQTL	0.74	0.93	High LD	2
C02B8.6.2	STR_29503	STR genotype	0.2	X	8829111	Local eQTL	0.2	0.61	Moderate LD	2
C02B8.6.2	STR_29466	STR length	0.17	X	8829111	Local eQTL	0.2	0.73	High LD	2
C02C6.3a.1	STR_31265	STR genotype	0.25	X	15371420	Local eQTL	0.24	0.85	High LD	2
C02C6.3a.1	STR_31160	STR length	0.11	X	15371420	Local eQTL	0.25	0.28	Low LD	4
C02F5.7b.1	STR_13472	STR genotype	0.61	III	7866694	Local eQTL	0.61	0.87	High LD	2
C02F5.7b.1	STR_13472	STR length	0.61	III	7866694	Local eQTL	0.61	0.87	High LD	2
C03A3.9.1	STR_30092	STR genotype	0.31	X	11790037	Local eQTL	0.23	0.78	High LD	2
C03A3.9.1	STR_30092	STR length	0.31	X	11790037	Local eQTL	0.23	0.78	High LD	2
C03G5.13.1	STR_29666	STR genotype	0.3	X	8481819	Local eQTL	0.41	0.72	High LD	2
C03G5.13.1	STR_29666	STR length	0.32	X	8481819	Local eQTL	0.43	0.74	High LD	2
C03G5.8.1	STR_29612	STR genotype	0.42	X	8271008	Local eQTL	0.44	0.96	High LD	2
C03G5.8.1	STR_29460	STR length	0.43	X	8271008	Local eQTL	0.47	0.51	Moderate LD	2
C03G5.9.1	STR_29666	STR genotype	0.35	X	8522871	Local eQTL	0.38	0.92	High LD	2
C03G5.9.1	STR_29666	STR length	0.38	X	8522871	Local eQTL	0.4	0.92	High LD	2
C03G6.18	STR_23955	STR genotype	0.31	V	7598251	Local eQTL	0.37	0.62	Moderate LD	2
C03G6.18	STR_23826	STR length	0.42	V	7598251	Local eQTL	0.2	0.29	Low LD	2
C03H12.1a.1	STR_31225	STR length	0.1	X	15724741	Local eQTL	0.2	0.53	Moderate LD	3
C03H5.1.1	STR_6057	STR genotype	0.25	II	411981	Local eQTL	0.36	0.66	Moderate LD	2
C03H5.1.1	STR_6061	STR length	0.23	II	411981	Local eQTL	0.33	0.59	Moderate LD	2
C03H5.1.2	STR_5983	STR genotype	0.59	II	406190	Local eQTL	0.89	0.47	Moderate LD	3
C03H5.1.2	STR_5825	STR length	0.65	II	406190	Local eQTL	0.93	0.62	Moderate LD	3
C03H5.2.2	STR_6057	STR genotype	0.32	II	393537	Local eQTL	0.32	0.72	High LD	2
C03H5.2.2	STR_5770	STR length	0.29	II	393537	Local eQTL	0.32	0.74	High LD	2
C03H5.6.1	STR_5770	STR genotype	0.21	II	393537	Local eQTL	0.26	0.74	High LD	2
C03H5.6.1	STR_5770	STR length	0.21	II	393537	Local eQTL	0.26	0.74	High LD	2
C04A2.1.1	STR_7829	STR genotype	0.31	II	6839580	Local eQTL	0.32	0.96	High LD	2
C04A2.1.1	STR_7829	STR length	0.31	II	6839580	Local eQTL	0.32	0.96	High LD	2
C04C3.4.1	STR_17841	STR genotype	0.16	IV	3394207	Local eQTL	0.39	0.73	High LD	4
C04C3.4.1	STR_17777	STR length	0.21	IV	3394207	Local eQTL	0.36	0.7	High LD	2
C04C3.7.1	STR_17889	STR genotype	0.21	IV	3442974	Local eQTL	0.17	0.48	Moderate LD	2
C04C3.7.1	STR_17660	STR length	0.19	IV	3442974	Local eQTL	0.22	0.67	Moderate LD	2
C04E6.4.2	STR_23571	STR genotype	0.18	V	5799575	Local eQTL	0.15	0.9	High LD	2
C04E6.4.2	STR_23571	STR length	0.18	V	5799575	Local eQTL	0.15	0.9	High LD	2
C04F12.12.1	STR_3447	STR genotype	0.45	I	9773671	Local eQTL	0.57	0.76	High LD	2
C04F12.12.1	STR_3447	STR length	0.45	I	9773671	Local eQTL	0.57	0.76	High LD	2
C04F12.6	STR_3574	STR genotype	0.2	I	9495278	Local eQTL	0.21	0.93	High LD	2
C04F12.6	STR_3629	STR length	0.2	I	9495278	Local eQTL	0.24	0.81	High LD	2
C04G2.4.1	STR_19343	STR genotype	0.32	IV	10236177	Local eQTL	0.39	0.48	Moderate LD	2
C04G2.4.1	STR_19343	STR length	0.32	IV	10236177	Local eQTL	0.39	0.48	Moderate LD	2
C04H5.2.1	STR_10438	STR genotype	0.52	II	14292281	Local eQTL	0.05	0.01	Low LD	2
C04H5.2.1	STR_10604	STR length	0.33	II	14292281	Local eQTL	0.28	0.03	Low LD	2
C04H5.7a.1	STR_10477	STR genotype	0.38	II	15113045	Local eQTL	0.43	0.92	High LD	2
C04H5.7a.1	STR_10477	STR length	0.41	II	15113045	Local eQTL	0.41	1	High LD	2
C05C10.1.1	STR_8592	STR genotype	0.16	II	10600950	Local eQTL	0.23	0.28	Low LD	2
C05C10.1.1	STR_8592	STR length	0.16	II	10600950	Local eQTL	0.23	0.28	Low LD	2
C05C10.2c.1	STR_8371	STR genotype	0	II	9595297	Local eQTL	0.16	0.24	Low LD	3
C05C10.2c.1	STR_8371	STR length	0.09	II	9595297	Local eQTL	0.16	0.24	Low LD	3
C05C10.6b.1	STR_8392	STR genotype	0	II	9963774	Local eQTL	0.56	0.18	Low LD	4
C05C10.6b.1	STR_8392	STR length	0.43	II	9963774	Local eQTL	0.56	0.18	Low LD	3
C05D12.2.1	STR_8790	STR genotype	0.76	II	11442717	Local eQTL	0.79	0.97	High LD	2
C05D12.2.1	STR_8715	STR length	0.68	II	11442717	Local eQTL	0.79	0.86	High LD	2
C05D12.3a.1	STR_8737	STR genotype	0.68	II	11427374	Local eQTL	0.68	1	High LD	2
C05D12.3a.1	STR_8833	STR length	0.64	II	11427374	Local eQTL	0.68	0.95	High LD	2
C05D12.3a.2	STR_8839	STR genotype	0.05	II	11510516	Local eQTL	0.31	0.06	Low LD	6
C05D12.3a.2	STR_8817	STR length	0.32	II	11510516	Local eQTL	0.34	0.84	High LD	2
C05D12.3c.1	STR_8669	STR genotype	0.02	II	11143994	Local eQTL	0.28	0.08	Low LD	4
C05D12.3c.1	STR_8846	STR length	0.08	II	11143994	Local eQTL	0.28	0.12	Low LD	3
C05E11.4.1	STR_28765	STR genotype	0.22	X	4546138	Local eQTL	0.22	1	High LD	2
C05E11.4.1	STR_28765	STR length	0.23	X	4546138	Local eQTL	0.22	1	High LD	2
C05E11.6.1	STR_28760	STR genotype	0.22	X	4537635	Local eQTL	0.22	0.87	High LD	2
C05E11.6.1	STR_28760	STR length	0.21	X	4537635	Local eQTL	0.22	0.82	High LD	2
C05E4.1.1	STR_21808	STR genotype	0.65	V	814661	Local eQTL	0.67	0.96	High LD	2
C05E4.1.1	STR_21808	STR length	0.65	V	814661	Local eQTL	0.67	0.96	High LD	2
C06A12.19.1	STR_21646	STR genotype	0.33	IV	17392764	Local eQTL	0.57	0.23	Low LD	4
C06A12.19.1	STR_21645	STR length	0.42	IV	17392764	Local eQTL	0.58	0.14	Low LD	4
C06A12.3b.1	STR_21652	STR genotype	0.33	IV	17392764	Local eQTL	0.33	1	High LD	2
C06A12.3b.1	STR_21652	STR length	0.33	IV	17392764	Local eQTL	0.33	1	High LD	2
C06A5.12.1	STR_2921	STR genotype	0.58	I	6074462	Local eQTL	0.79	0.79	High LD	2
C06A5.12.1	STR_2921	STR length	0.58	I	6074462	Local eQTL	0.79	0.79	High LD	2
C06A5.7a.2	STR_2921	STR genotype	0.16	I	6074462	Local eQTL	0.24	0.79	High LD	2
C06A5.7a.2	STR_2921	STR length	0.16	I	6074462	Local eQTL	0.24	0.79	High LD	2
C06B8.2c.1	STR_25145	STR genotype	0.22	V	15477125	Local eQTL	0.24	0.66	Moderate LD	2
C06B8.2c.1	STR_25145	STR length	0.22	V	15477125	Local eQTL	0.24	0.66	Moderate LD	2
C06C3.12.1	STR_8350	STR genotype	0.14	II	9581871	Local eQTL	0.1	0.02	Low LD	2
C06C3.12.1	STR_8350	STR length	0.14	II	9581871	Local eQTL	0.1	0.02	Low LD	2
C06C6.7.1	STR_25430	STR genotype	0.22	V	15968852	Local eQTL	0.26	0.72	High LD	3
C06C6.7.1	STR_25429	STR length	0.13	V	15968852	Local eQTL	0.24	0.72	High LD	4
C06E1.11.1	STR_13669	STR genotype	0.86	III	8612723	Local eQTL	0.89	0.98	High LD	2
C06E1.11.1	STR_13669	STR length	0.86	III	8612723	Local eQTL	0.89	0.98	High LD	2
C06E1.11.2	STR_13757	STR genotype	0.25	III	8915942	Local eQTL	0.24	0.95	High LD	2
C06E1.11.2	STR_13757	STR length	0.25	III	8915942	Local eQTL	0.24	0.95	High LD	2
C06E7.1a.2	STR_18591	STR genotype	0.58	IV	5855974	Local eQTL	0.83	0.74	High LD	2
C06E7.1a.2	STR_18591	STR length	0.58	IV	5855974	Local eQTL	0.83	0.74	High LD	2
C06E7.3a.1	STR_18435	STR genotype	0.11	IV	5855974	Local eQTL	0.44	0.4	Moderate LD	3
C06E7.3a.1	STR_18435	STR length	0.34	IV	5855974	Local eQTL	0.44	0.4	Moderate LD	2
C06H2.3a.1	STR_24375	STR genotype	0.18	V	11128459	Local eQTL	0.34	0.52	Moderate LD	2
C06H2.3a.1	STR_24375	STR length	0.18	V	11128459	Local eQTL	0.34	0.52	Moderate LD	2
C06H5.1.2	STR_25758	STR genotype	0.19	V	17901767	Local eQTL	0.33	0.43	Moderate LD	2
C06H5.1.2	STR_25758	STR length	0.19	V	17901767	Local eQTL	0.33	0.43	Moderate LD	2
C07A9.3c.1	STR_13973	STR genotype	0.17	III	9743864	Local eQTL	0.19	0.91	High LD	2
C07A9.3c.1	STR_13973	STR length	0.17	III	9743864	Local eQTL	0.19	0.91	High LD	2
C07G3.2.1	STR_22806	STR genotype	0.24	V	3232905	Local eQTL	0.23	0.89	High LD	2
C07G3.2.1	STR_22863	STR length	0.24	V	3232905	Local eQTL	0.25	0.96	High LD	2
C07G3.9a.2	STR_22809	STR genotype	0.2	V	3432406	Local eQTL	0.16	0.48	Moderate LD	2
C07G3.9a.2	STR_22625	STR length	0.21	V	3432406	Local eQTL	0.17	0.35	Moderate LD	2
C08A9.7.1	STR_31924	STR genotype	0.26	X	17355182	Local eQTL	0.19	0.13	Low LD	2
C08A9.7.1	STR_31924	STR length	0.26	X	17355182	Local eQTL	0.19	0.11	Low LD	2
C08A9.9.1	STR_31764	STR genotype	0.72	X	16681022	Local eQTL	0.72	1	High LD	2
C08A9.9.1	STR_31764	STR length	0.72	X	16681022	Local eQTL	0.72	1	High LD	2
C08A9.9.2	STR_31938	STR genotype	0.33	X	16681022	Local eQTL	0.32	0.98	High LD	2
C08A9.9.2	STR_31938	STR length	0.33	X	16681022	Local eQTL	0.32	0.98	High LD	2
C08C3.2a.2	STR_13458	STR genotype	0.44	III	7320578	Local eQTL	0.41	0.87	High LD	2
C08C3.2a.2	STR_13458	STR length	0.44	III	7320578	Local eQTL	0.41	0.87	High LD	2
C08C3.2b.1	STR_13432	STR genotype	0.01	III	7320578	Local eQTL	0.36	0.09	Low LD	4
C08C3.2b.1	STR_13432	STR length	0.08	III	7320578	Local eQTL	0.36	0.09	Low LD	3
C08E3.11	STR_6140	STR genotype	0.45	II	2181630	Local eQTL	0.45	0.68	Moderate LD	2
C08E3.11	STR_6274	STR length	0.37	II	2181630	Local eQTL	0.37	0.62	Moderate LD	2
C08E3.2	STR_6316	STR genotype	0.54	II	1510086	Local eQTL	0.52	0.95	High LD	2
C08E3.2	STR_6274	STR length	0.59	II	1510086	Local eQTL	0.58	1	High LD	4
C08E3.3.1	STR_6245	STR genotype	0.35	II	1664487	Local eQTL	0.41	0.83	High LD	2
C08E3.3.1	STR_6316	STR length	0.33	II	1664487	Local eQTL	0.41	0.55	Moderate LD	2
C08E3.8.1	STR_6057	STR genotype	0.51	II	873752	Local eQTL	0.49	0.86	High LD	3
C08E3.8.1	STR_6274	STR length	0.6	II	873752	Local eQTL	0.46	0.78	High LD	3
C08E8.2.1	STR_25866	STR genotype	0.15	V	18011759	Local eQTL	0.32	0.73	High LD	3
C08E8.2.1	STR_25866	STR length	0.15	V	18011759	Local eQTL	0.32	0.57	Moderate LD	4
